"","rank1","rank2","rank3","rank4","rank5","rank6"
"averagecutoff",NA,NA,NA,NA,NA,NA
"stdcutoff",NA,NA,NA,NA,NA,NA
"averagequality",NA,NA,NA,NA,NA,NA
"stdquality",NA,NA,NA,NA,NA,NA
