"","schoolprogram","cutoff","quality","size","schoolname","sssdistrict","ssslong","ssslat"
"13","100101,General Arts",198,244.192307692308,78,"WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"16","100101,Home Economics",199,228.974358974359,39,"WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"27","100101,Technical",201,235.102040816327,49,"WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"33","100102,Agriculture",273,292.781609195402,87,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"36","100102,Business",283,303.129411764706,85,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"43","100102,General Arts",291,310.470588235294,85,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"44","100102,General Science",273,298.584269662921,89,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"46","100102,Home Economics",262,279,44,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"59","100102,Visual Arts",250,273.071428571429,42,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"76","100104,General Arts",319,335.906976744186,43,"LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255
"77","100104,General Science",313,333.75,44,"LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255
"79","100104,Home Economics",282,309.355555555556,45,"LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255
"99","100105,Business",251,267.618421052632,76,"ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"106","100105,General Arts",258,274.818181818182,77,"ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"109","100105,Home Economics",242,257.73417721519,79,"ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"126","100106,Agriculture",223,240.625,40,"T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"129","100106,Business",238,253.538461538462,39,"T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"136","100106,General Arts",248,268.975,40,"T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"159","100201,Business",288,314.578947368421,76,"NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418
"166","100201,General Arts",319,339,39,"NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418
"167","100201,General Science",334,356.282051282051,78,"NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418
"189","100202,Business",230,261.484848484848,198,"LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418
"196","100202,General Arts",252,274.468619246862,239,"LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418
"197","100202,General Science",265,286.95,100,"LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418
"216","100203,Agriculture",225,242.54,50,"EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418
"229","100203,Home Economics",201,227.222222222222,36,"EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418
"240","100203,Technical",200,223.1875,16,"EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418
"249","100204,Business",204,224.935483870968,31,"KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418
"256","100204,General Arts",194,228.923076923077,39,"KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418
"259","100204,Home Economics",202,230.705882352941,17,"KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418
"276","100301,Agriculture",201,224.352941176471,51,"ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"286","100301,General Arts",197,233.470588235294,34,"ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"289","100301,Home Economics",195,223.3125,16,"ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"309","100302,Business",264,295.787234042553,47,"ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"316","100302,General Arts",294,320.011904761905,84,"ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"317","100302,General Science",285,318.139534883721,43,"ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"319","100302,Home Economics",263,294.64,50,"ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"336","100303,Agriculture",207,231.288888888889,45,"PIINA SENIOR HIGH SCH","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"349","100303,Home Economics",201,230.190476190476,21,"PIINA SENIOR HIGH SCH","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"369","100304,Business",225,247.530612244898,49,"JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"379","100304,Home Economics",227,241.38,50,"JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"392","100304,Visual Arts",195,236.805555555556,36,"JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"399","100401,Business",259,280.871794871795,39,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"406","100401,General Arts",251,269.888888888889,117,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"407","100401,General Science",228,261.831168831169,77,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"409","100401,Home Economics",245,259.794871794872,39,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"422","100401,Visual Arts",206,240.921052631579,38,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"426","100402,Agriculture",225,240.62,50,"TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"439","100402,Home Economics",201,223.813953488372,43,"TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"450","100402,Technical",209,232.214285714286,14,"TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"456","100501,Agriculture",235,253.340909090909,88,"KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478
"469","100501,Home Economics",224,241.729411764706,85,"KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478
"480","100501,Technical",207,233.704545454545,44,"KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478
"486","100502,Agriculture",191,234.476744186047,86,"DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478
"496","100502,General Arts",198,233.155555555556,90,"DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478
"499","100502,Home Economics",209,227.755555555556,45,"DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478
"519","100503,Business",262,278.65,80,"QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478
"526","100503,General Arts",273,288.461538461538,78,"QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478
"527","100503,General Science",276,276,1,"QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478
"546","10101,Agriculture",288,309.088888888889,45,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"549","10101,Business",305,324.978947368421,95,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"556","10101,General Arts",316,330.782608695652,92,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"557","10101,General Science",299,329.767441860465,43,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"559","10101,Home Economics",284,300.222222222222,45,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"572","10101,Visual Arts",296,311.145833333333,48,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"586","10102,General Arts",388,404.153846153846,78,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563
"587","10102,General Science",389,407,58,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563
"589","10102,Home Economics",363,377.769230769231,39,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563
"602","10102,Visual Arts",343,371.48717948718,39,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563
"606","10103,Agriculture",316,333.432432432432,37,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"609","10103,Business",341,358.52,100,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"616","10103,General Arts",349,362.019607843137,102,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"617","10103,General Science",335,353.940298507463,67,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"619","10103,Home Economics",320,336.547619047619,42,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"632","10103,Visual Arts",343,357.647058823529,34,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"646","10104,General Arts",302,320.452830188679,53,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"647","10104,General Science",245,284,52,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"649","10104,Home Economics",264,284.192307692308,52,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"662","10104,Visual Arts",273,298.106382978723,47,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"666","10105,Agriculture",260,307.463414634146,41,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"669","10105,Business",332,356.1375,80,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"676","10105,General Arts",328,356.481481481481,81,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"677","10105,General Science",339,367.266666666667,75,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"692","10105,Visual Arts",323,347.5,40,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"699","10106,Business",328,345.761363636364,88,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"706","10106,General Arts",336,350.732558139535,86,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"707","10106,General Science",337,354.880952380952,42,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"709","10106,Home Economics",293,319.5625,48,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"720","10106,Technical",301,324.688888888889,45,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"722","10106,Visual Arts",314,330.782608695652,46,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"729","10107,Business",292,312.746478873239,71,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"736","10107,General Arts",299,317.863636363636,88,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"737","10107,General Science",281,310.473684210526,38,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"739","10107,Home Economics",286,302.923076923077,39,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"752","10107,Visual Arts",288,307.270833333333,48,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"759","10108,Business",292,313.54,50,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"766","10108,General Arts",291,310.1,110,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"767","10108,General Science",248,286.585365853659,41,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"769","10108,Home Economics",278,293.720930232558,43,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"782","10108,Visual Arts",280,301.131578947368,38,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"799","10109,Home Economics",259,278.127659574468,47,"KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"810","10109,Technical",257,279.793650793651,189,"KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"812","10109,Visual Arts",278,297.095238095238,42,"KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"816","10110,Agriculture",343,371.235294117647,34,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"826","10110,General Arts",389,408.487046632124,193,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"827","10110,General Science",401,420.320895522388,134,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"829","10110,Home Economics",366,384.5625,32,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"842","10110,Visual Arts",389,405.789473684211,38,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"846","10111,Agriculture",371,396.057142857143,35,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"849","10111,Business",382,404.471153846154,104,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"856","10111,General Arts",382,401.363636363636,99,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"857","10111,General Science",407,424.603375527426,237,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"872","10111,Visual Arts",379,398.666666666667,36,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"879","10112,Business",359,379.925925925926,81,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"886","10112,General Arts",374,386.272727272727,77,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"887","10112,General Science",362,377.125,40,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"889","10112,Home Economics",363,376.64,25,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"902","10112,Visual Arts",316,347.6,45,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"909","10114,Business",329,347.379310344828,87,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"916","10114,General Arts",337,351.5,92,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"917","10114,General Science",325,352.560975609756,41,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"919","10114,Home Economics",319,335.255319148936,47,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"932","10114,Visual Arts",319,338.547619047619,42,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"946","10115,General Arts",321,337.222222222222,36,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"947","10115,General Science",274,312.947368421053,38,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"949","10115,Home Economics",275,300.371428571429,35,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"960","10115,Technical",295,315.352112676056,71,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"962","10115,Visual Arts",290,314.486486486487,37,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"969","10116,Business",205,272.972222222222,252,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"976","10116,General Arts",307,327,44,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"977","10116,General Science",288,333.777777777778,36,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"979","10116,Home Economics",279,297.666666666667,36,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"992","10116,Visual Arts",288,310.027027027027,37,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"996","10117,Agriculture",330,346.942857142857,35,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"999","10117,Business",349,367.215277777778,144,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1006","10117,General Arts",363,376.154545454545,110,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1007","10117,General Science",368,382.134328358209,67,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1009","10117,Home Economics",341,354.709677419355,31,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1022","10117,Visual Arts",358,369.058823529412,34,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1026","10118,Agriculture",275,305.305555555556,36,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"1029","10118,Business",291,316.767857142857,112,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"1036","10118,General Arts",298,320.831081081081,148,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"1037","10118,General Science",298,328.323529411765,34,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"1039","10118,Home Economics",292,311.487804878049,41,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"1052","10118,Visual Arts",278,303.792682926829,82,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"1059","10119,Business",260,289.036036036036,111,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1066","10119,General Arts",273,292.096296296296,135,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1067","10119,General Science",235,278.52,25,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1069","10119,Home Economics",264,279.510638297872,47,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1082","10119,Visual Arts",273,292.021739130435,46,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1096","10120,General Arts",243,271.165048543689,103,"KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1099","10120,Home Economics",253,270.086956521739,23,"KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1110","10120,Technical",259,289.39175257732,97,"KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1112","10120,Visual Arts",266,280,24,"KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1116","10121,Agriculture",335,361.823529411765,34,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1119","10121,Business",363,384.658385093168,161,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1126","10121,General Arts",369,385.652777777778,72,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1127","10121,General Science",358,385.289855072464,138,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1142","10121,Visual Arts",360,374.473684210526,38,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1171","10128,General Arts",278,295.478260869565,46,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1172","10128,General Science",203,278.468085106383,47,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1174","10128,Home Economics",205,249.010638297872,94,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1187","10128,Visual Arts",252,270.146341463415,41,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1212","10142,Business",260,286.670731707317,82,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1219","10142,General Arts",280,307.328947368421,76,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1220","10142,General Science",225,265.142857142857,28,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1235","10142,Visual Arts",275,294.421052631579,38,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"1256","10201,Business",356,373.891891891892,111,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"1263","10201,General Arts",358,373.203389830508,118,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"1264","10201,General Science",344,367.449541284404,109,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"1266","10201,Home Economics",340,355.025641025641,39,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"1279","10201,Visual Arts",339,359.216666666667,60,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
