"","rank1","rank2","rank3","rank4","rank5","rank6"
"averagecutoff",315.190287390391,297.065212533997,283.932897344737,269.768973507376,255.27264058078,250.251467206117
"stdcutoff",53.3824900861216,49.8681154583984,47.8124560112045,45.9742257218688,32.3368727940156,31.7966594232581
"averagequality",336.215856956632,319.091834997793,307.249026346048,295.065959209892,283.121470640537,278.581345516264
"stdquality",47.9690960233244,44.0128348194382,41.7225650457738,39.6768366339242,26.2401056156604,25.986705223155
